ls_vitz;ls_energo
511001933;110407153
511001991;110407181
511002214;110410532
511002476;110502167
511002890;110506314
511002997;110506340
511000610;110306024
511001640;110405126
511002183;110410224
511002361;110501327
511002769;110503311
511002939;110506326
511003074;110506359
511003448;110508134
511003600;110508245
511004363;110605001
511005149;110902248
511005440;110904012
511005458;110904013
511000288;110202178
511000319;110203147
511000539;110204196
511000636;110306202
511000709;110401141
511000783;110402010
511001488;110404206
511001739;110405221
511001959;110407156
511002044;110408125
511003545;110508226
511003684;110508271
511006569;110904617
511006593;110904642
511006802;110904792
511006894;110904843
511006933;110904851
511006991;110904913
511007002;110904920
511007010;110904954
511007337;110905368
511007379;110905396
511007400;110905407
511008189;110920397
511009062;111103006
511009135;111104033
511009240;111104131
511009583;111116005
511010178;111402166
511010241;111403074
511010649;111405191
511010869;111406075
511011001;111407082
511011158;111702031
511011271;111905427
511012277;111910391
511012447;111910585
511006909;110904845
511006925;110904850
511008197;110920400
511008202;110920405
511008210;110920409
511008529;110931146
511008692;110932043
511008896;111005127
511009185;111104093
511009559;111116001
511010097;111401125
511010461;111405065
511010681;111405276
511010738;111406027
511006200;110904393
511006218;110904396
511006292;110904451
511006527;110904597
511007484;110905435
511007507;110905450
511007662;110915306
511008090;110920336
511008391;110920512
511008684;110932042
511008749;111001081
511009046;111101205
511009648;111116027
511010372;111404095
511010568;111405167
511010712;111406018
511011140;111702030
511011166;111702045
511011289;111905431
511011491;111905538
511011831;111908110
511011904;111908180
511011946;111908215
511012463;111910612
511012528;112007280
511012756;112114228
511003595;110508237
511003919;110508394
511003969;110514183
511004143;110602167
511004151;110602205
511004355;110904687
511004410;110605030
511004753;110706035
511004884;110901333
511004907;110901348
511005505;110904027
511005513;110904033
511011815;111908077
511012007;111909057
511012502;111910820
511012926;110401134
511013011;110502308
511013249;110905349
511013566;110920455
511013582;110501054
511013794;110901279
511014114;110512309
511014318;110905082
511014392;110904481
511014499;110508277
511010974;111407047
511011205;111706145
511011263;111905426
511011425;111905513
511011475;111905531
511011548;111907009
511011611;111907086
511012332;111910438
511012706;112114196
511012798;110920423
511013118;110405093
511013320;111910629
511013508;110904153
511012853;111910392
511013029;111909021
511014156;110504193
511014245;110920208
511014716;110920462
511014897;111910460
511015437;111402015
511015819;111101224
511016865;110920558
511017112;111001156
511017730;111007111
511017811;110931245
511018037;110920014
511005660;110904085
511006145;110904381
511006284;110904429
511007751;110920059
511007858;110920154
511008058;110920321
511008171;110920391
511008448;110920552
511008723;111001054
511008804;111002106
511008901;111005192
511009274;111104136
511015445;110902260
511015453;110410536
511015495;110504338
511015631;110901401
511015788;110503181
511015908;110204172
511017065;111910212
511017104;110508240
511017120;111104127
511017675;110403167
511017992;111405009
511019059;110905358
511019211;111005115
511019245;111910841
511009389;111104242
511009575;111116004
511010584;111405170
511010657;111405193
511011027;111407101
511011093;111407147
511011459;111905523
511011776;111908023
511011962;111909009
511012188;111910283
511012285;111910407
511012421;111910558
511012439;111910564
511013867;110901324
511013956;110920365
511014619;111905532
511014732;111909044
511015233;110502324
511015542;110508144
511015657;112114208
511015699;110508303
511016912;110508380
511017340;110408004
511017390;110204116
511017706;111910411
511018281;110920420
511018320;111910449
511018891;110905016
511018930;110204036
511019520;110904311
511021292;110920253
511021909;111104121
511022214;110904861
511022264;110905293
511022361;110904873
511022743;110502339
511022963;110903071
511023317;110905447
511023391;110905372
511009729;111116071
511010063;111202199
511010403;111405015
511010445;111405048
511011394;111905491
511012099;111910187
511012413;111910556
511012455;111910601
511012918;111405076
511013388;110604150
511013401;110401050
511013485;111002196
511013532;111104283
511012879;111910193
511013443;110904690
511013540;111104076
511013825;111905429
511014326;110904050
511014994;110402174
511015241;110905075
511015364;110920545
511016742;111116050
511016849;110202026
511017463;110403120
511018045;110920502
511018574;111905463
511004965;110901388
511005084;110902120
511005199;110903051
511005335;110903215
511006454;110904526
511006577;110904627
511007094;110905049
511007191;110905137
511007248;110905283
511007361;110905387
511007418;110905414
511007646;110915295
511008278;110920443
511005903;110904262
511005929;110904268
511006543;110904607
511006666;110904704
511006810;110904795
511006983;110904892
511007468;110905426
511007557;110905550
511007743;110920046
511007808;110920104
511008480;110926144
511008503;110931078
511008579;110931215
511007816;110920118
511008163;110920387
511008812;111002159
511008862;111005112
511009216;111104111
511009460;111104306
511009517;111106098
511009711;111116067
511010267;111403080
511010275;111403085
511010306;111403117
511010348;111403162
511010788;111406049
511010801;111406054
511013697;110508308
511013891;110407118
511014009;110904017
511014059;110904716
511014596;111907051
511014643;110721041
511015013;111106119
511015128;110508246
511015209;110606106
511015665;111907240
511015720;111405096
511015835;111116110
511017235;110405022
511005115;110902234
511005238;110903070
511005254;110903179
511005490;110904026
511005717;110904096
511005767;110904146
511006014;110904302
511006187;110904390
511006242;110904408
511006307;110904452
511006519;110904587
511006585;111407074
511006640;110904684
511007060;110905040
511020270;110202001
511020733;110931221
511021137;110408164
511021250;111407176
511021404;111908104
511022133;110905030
511022159;110502344
511022785;110931211
511023032;110920316
511023595;111104284
511023684;110403218
511023935;110504078
511024274;110920304
511018671;110905102
511019758;110904916
511020717;110904109
511020783;111402085
511020806;110904628
511020848;110204029
511021014;110904224
511022442;110508373
511022688;110405057
511022832;110904810
511023058;110920024
511023294;110931188
511023846;110920517
511003896;110508379
511004046;110526269
511004135;110602091
511004240;110604101
511004402;110605024
511004703;110606130
511004923;110901358
511005296;110903199
511005327;110903211
511005432;110904011
511005610;110904064
511005686;110904092
511010877;111406078
511010908;111406233
511012235;111910324
511013134;111907042
511013299;111910854
511013419;110402029
511013621;110405079
511013736;111909050
511013817;111905444
511014203;110905392
511014261;110903154
511014295;110904739
511014651;110920284
511014863;111910416
511015160;110931163
511015982;111104287
511016768;110904811
511016920;111910197
511017764;111116016
511018168;110508279
511018396;110920132
511018435;111910738
511018566;110920375
511019740;110205145
511020204;110402204
511020725;110901330
511007183;110905135
511007311;110905317
511007701;110920015
511007735;110920041
511007769;110920061
511008113;110920343
511008367;110920501
511008985;111101052
511009567;111116002
511009672;111116032
511009745;111116075
511009787;111116103
511010160;111402155
511008553;110931191
511008977;111101026
511009070;111103020
511009800;111116106
511009923;111202185
511010144;111402102
511010233;111403043
511010631;111405186
511011132;111702023
511011687;111907188
511011920;111908182
511012057;111909088
511012219;111910304
511021129;110920329
511021200;111405151
511021276;111001136
511021462;111905496
511021608;110508130
511021810;111007142
511022272;110905104
511022395;110508126
511022418;110920254
511022599;111401219
511022769;110905297
511023202;111116041
511010322;111403143
511010500;111405083
511010607;111405175
511010924;111406237
511010932;111406241
511011182;111702234
511011556;111907019
511011954;111908231
511012120;111910192
511013639;110606171
511014067;111907176
511014091;110506367
511014588;110904530
511023626;110506324
511023668;110502196
511024046;111905516
511024575;111406080
511030762;111910180
513000569;130291010
513001117;130501019
513001303;130516048
513001434;130516142
513001468;130516155
513001581;130517074
511024038;110904759
511025628;110205248
513000365;130110014
513000747;130309093
513000983;130403031
513001395;130516091
513001442;130516145
513001866;130608170
513002105;130710128
513002163;130711054
513002189;130711100
513002456;130805131
513002472;130902091
511007573;110905558
511007777;110920065
511007832;110920131
511007905;110920249
511008121;110920354
